config_id,retriever,generator,prompt_type,n,recall_at_1,recall_at_3,em,token_f1,hallucination_rate,bn_f1,bn_em,en_f1,en_em,junior_sec_f1,ssc_f1,rouge_l,bert_score,token_f1_std,token_f1_ci95,rouge_l_std,bert_score_std,bn_rouge_l,en_rouge_l,bn_bert_score,en_bert_score,junior_sec_rouge_l,ssc_rouge_l,ict_f1,science_f1,ict_rouge_l,science_rouge_l,ict_bert_score,science_bert_score,desc
1,bm25,llama,grounded,199,0.4523,0.6784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4047,0.88,0.4024,0.0558,0.3984,0.098,0.4485,0.3666,0.893,0.8688,0.4209,0.3731,0.435,0.4063,0.4238,0.3955,0.8854,0.8774,
2,bm25,llama,open,199,0.4523,0.6784,0.005,0.1754,0.0,0.1851,0.0,0.167,0.0094,0.1781,0.1701,0.2332,0.8779,0.2657,0.0368,0.2637,0.0621,0.1951,0.2664,0.8826,0.8738,0.242,0.2163,0.1864,0.2733,0.1738,0.2619,0.8673,0.883,
3,bm25,mixtral,grounded,199,0.4523,0.6784,0.0,0.0073,0.0201,0.0135,0.0,0.0018,0.0,0.0095,0.0028,0.3139,0.8709,0.3612,0.0501,0.3547,0.0859,0.3566,0.2768,0.8901,0.8541,0.307,0.3272,0.3441,0.3156,0.3308,0.3057,0.8778,0.8675,
4,bm25,mixtral,open,199,0.4523,0.6784,0.0,0.1285,0.0,0.1189,0.0,0.1369,0.0,0.1319,0.1218,0.1106,0.8404,0.218,0.0302,0.2145,0.0624,0.1228,0.1,0.8565,0.8263,0.0987,0.1337,0.1151,0.115,0.1115,0.1102,0.834,0.8434,
5,dense,llama,grounded,199,0.4472,0.6985,0.0854,0.3742,0.5075,0.386,0.0645,0.3638,0.1038,0.3916,0.3399,0.4207,0.8924,0.3921,0.0543,0.3905,0.09,0.4383,0.4054,0.8948,0.8904,0.422,0.4181,0.3969,0.4415,0.3939,0.4336,0.8896,0.8938,
6,dense,llama,open,199,0.4472,0.6985,0.005,0.1714,0.0,0.1855,0.0,0.1589,0.0094,0.175,0.1641,0.2447,0.8793,0.2765,0.0383,0.2753,0.0632,0.2079,0.2767,0.8821,0.8769,0.2449,0.2444,0.1885,0.289,0.178,0.2769,0.8659,0.8857,
7,dense,mixtral,grounded,199,0.4472,0.6985,0.0201,0.2622,0.4623,0.2537,0.0215,0.2698,0.0189,0.2799,0.2275,0.3256,0.8789,0.363,0.0503,0.3606,0.0833,0.4026,0.2586,0.8993,0.8611,0.3255,0.3256,0.3003,0.3497,0.2962,0.3397,0.8747,0.8809,
8,dense,mixtral,open,199,0.4472,0.6985,0.0,0.1289,0.0,0.1202,0.0,0.1365,0.0,0.1322,0.1224,0.111,0.8396,0.2182,0.0302,0.2146,0.0627,0.1228,0.1007,0.8554,0.8259,0.0994,0.1334,0.1139,0.1164,0.1096,0.1116,0.8341,0.8422,
9,hybrid,llama,grounded,200,0.455,0.545,0.07,0.3365,0.51,0.3601,0.0645,0.316,0.0748,0.333,0.3433,0.4298,0.8938,0.3917,0.0543,0.3902,0.0895,0.4357,0.4247,0.895,0.8927,0.433,0.4236,0.4015,0.4532,0.3985,0.4449,0.8906,0.8953,
10,hybrid,llama,open,200,0.455,0.545,0.005,0.1748,0.0,0.1832,0.0,0.1676,0.0093,0.1848,0.1554,0.2434,0.8795,0.2709,0.0375,0.2697,0.0615,0.2064,0.2756,0.8832,0.8763,0.243,0.2442,0.1887,0.2869,0.1764,0.2757,0.8676,0.8853,
11,hybrid,mixtral,grounded,200,0.455,0.545,0.02,0.2468,0.415,0.2567,0.0215,0.2382,0.0187,0.2409,0.2583,0.3222,0.8781,0.3623,0.0502,0.36,0.0831,0.4008,0.2539,0.8994,0.8597,0.3231,0.3204,0.2949,0.3478,0.2892,0.338,0.8735,0.8803,
12,hybrid,mixtral,open,200,0.455,0.545,0.0,0.1302,0.0,0.1214,0.0,0.1377,0.0,0.1332,0.1243,0.112,0.8411,0.2167,0.03,0.213,0.0623,0.1245,0.1012,0.8571,0.8273,0.0982,0.1389,0.1159,0.1175,0.1108,0.1127,0.8352,0.844,
13,rerank_dense,llama,grounded,200,0.435,0.575,0.2,0.3755,0.38,0.2246,,0.5067,,0.3872,0.3529,0.3665,0.8743,0.4071,0.0564,0.4071,0.0989,0.2177,0.4957,0.8374,0.9063,,,0.3897,0.3687,0.3839,0.3581,0.8808,0.8711,Dense+Rerank+MMR+Llama
14,rerank_hybrid,llama,grounded,200,0.435,0.575,0.205,0.3863,0.385,0.2376,,0.5156,,0.3971,0.3655,0.377,0.876,0.4109,0.0569,0.4113,0.1001,0.2296,0.5051,0.8394,0.9078,,,0.3903,0.3844,0.3851,0.3731,0.881,0.8736,Hybrid+Rerank+MMR+Llama
15,rerank_bm25,llama,grounded,200,0.39,0.51,0.185,0.3413,0.325,0.1951,,0.4684,,0.3567,0.3115,0.3354,0.8632,0.4073,0.0565,0.4069,0.1018,0.192,0.4599,0.8269,0.8947,,,0.3862,0.3197,0.3834,0.3122,0.8751,0.8575,BM25+Rerank+MMR+Llama
